column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,300,350,2750,2.52,0,7,240,30,16,12,0,2,6,150,2,2,14.4392,468.424,484.468,173.958,24.1866,0
4,4,1004,300,350,2750,2.52,0,7,240,30,16,12,0,2,6,150,2,2,21.8408,478.501,474.138,186.73,27.1047,0
5,5,1005,600,350,2750,5.04,0,7,240,30,16,12,7,0,6,150,2,2,20.6197,486.615,494.327,187.43,33.4985,0
6,6,1006,800,450,2750,8.64,0,7,240,30,20,20,7,0,6,200,2,2,20.4631,489.257,476.547,217.173,29.2005,0
7,7,1007,800,450,2750,8.64,0,7,240,30,20,20,7,0,6,200,2,2,19.5118,489.237,483.398,210.655,25.9344,0
8,8,1008,600,350,2750,5.04,0,7,240,30,16,12,7,0,6,150,2,2,18.0616,480.084,480.698,182.541,26.0272,0
9,9,1009,600,350,2750,5.04,0,7,240,30,16,12,7,0,6,150,2,2,22.6357,501.017,474.587,168.766,33.1874,0
10,10,1010,750,400,2750,7.2,0,7,240,30,16,16,11,0,6,150,2,2,19.1775,474.811,498.021,158.188,32.3644,0
11,11,1011,750,400,2750,7.2,0,7,240,30,16,16,11,0,6,150,2,2,18.8089,479.442,492.505,177.196,22.1242,0
12,12,1012,600,350,2750,5.04,0,7,240,30,16,12,7,0,6,150,2,2,22.6579,488.1,492.14,155.064,35.8248,0
13,13,1013,300,350,2750,2.52,0,7,240,30,16,12,0,2,6,150,2,2,21.6161,493.021,500.689,154.298,24.1745,0
14,14,1014,350,450,2750,3.78,0,7,240,30,12,12,1,6,6,125,2,2,17.0784,477.414,447.445,125.452,26.0573,0
15,15,1015,350,450,2750,3.78,0,7,240,30,12,12,1,6,6,125,2,2,21.4479,492.53,479.763,132.766,19.3211,0
16,16,1016,300,350,2750,2.52,0,7,240,30,16,12,0,2,6,150,2,2,17.7983,478.33,498.809,171.555,30.0942,0
1001,1001,2001,300,350,2750,2.52,0,7,240,30,16,12,0,3,6,150,2,2,24.9503,486.892,466.913,157.304,36.9396,0
1004,1004,2004,300,350,2750,2.52,0,7,240,30,16,12,0,3,6,150,2,2,26.2993,452.172,471.787,153.091,40.2844,0
1005,1005,2005,600,350,2750,5.04,0,7,240,30,16,12,0,3,6,150,2,2,21.2409,457.087,480.152,172.163,29.4525,0
1006,1006,2006,800,450,2750,8.64,0,7,240,30,20,20,0,2,6,200,2,2,26.1324,499.072,485.592,254.189,23.2892,0
1007,1007,2007,800,450,2750,8.64,0,7,240,30,20,20,0,2,6,200,2,2,16.0759,465.006,474.84,200.69,29.6158,0
1008,1008,2008,600,350,2750,5.04,0,7,240,30,16,12,0,3,6,150,2,2,21.3584,485.04,473.964,160.264,26.864,0
1009,1009,2009,600,350,2750,5.04,0,7,240,30,16,12,0,3,6,150,2,2,15.7438,473.171,489.184,190.559,27.1584,0
1010,1010,2010,750,400,2750,7.2,0,7,240,30,16,16,0,3,6,150,2,2,20.5443,470.041,458.415,178.541,26.0974,0
1011,1011,2011,750,400,2750,7.2,0,7,240,30,16,16,0,3,6,150,2,2,16.42,476.608,489.598,187.371,41.9949,0
1012,1012,2012,600,350,2750,5.04,0,7,240,30,16,12,0,3,6,150,2,2,16.9596,497.669,477.844,190.919,28.4795,0
1013,1013,2013,300,350,2750,2.52,0,7,240,30,16,12,0,3,6,150,2,2,22.3718,482.13,483.967,159.844,17.5177,0
1014,1014,2014,350,450,2750,3.78,0,7,240,30,12,12,0,4,6,125,2,2,18.3276,496.89,486.528,152.733,29.9288,0
1015,1015,2015,350,450,2750,3.78,0,7,240,30,12,12,0,4,6,125,2,2,16.6137,486.414,464.763,134.788,33.3211,0
1016,1016,2016,300,350,2750,2.52,0,7,240,30,16,12,0,3,6,150,2,2,18.2577,480.037,495.903,192.229,35.8985,0
2001,2001,3001,250,250,2750,1.5,0,7,240,30,16,12,0,0,6,150,2,2,19.7205,480.183,491.22,193.072,34.4061,0
2004,2004,3004,250,250,2750,1.5,0,7,240,30,16,12,0,0,6,150,2,2,20.9607,470.776,476.203,157.21,33.3589,0
2005,2005,3005,500,250,2750,3,0,7,240,30,16,12,1,0,6,150,2,2,18.0245,449.794,469.786,186.551,25.3178,0
2006,2006,3006,750,350,2750,6.3,0,7,240,30,20,20,0,1,6,200,2,2,22.8906,477.517,461.968,202.828,27.7765,0
2007,2007,3007,750,350,2750,6.3,0,7,240,30,20,20,0,1,6,200,2,2,21.1222,481.918,474.04,235.964,29.3956,0
