column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,350,350,3000,2.94,0,7,240,30,20,16,0,1,6,200,2,2,17.8231,475.757,473.278,208.189,27.1844,0.5
4,4,1004,350,350,3000,2.94,0,7,240,30,20,16,0,1,6,200,2,2,21.9202,473.758,475.958,200.723,31.5631,0.5
5,5,1005,450,450,3000,4.86,0,7,240,30,25,20,0,2,8,300,2,2,21.2987,477.264,479.149,312.692,26.9251,0.5
6,6,1006,500,500,3000,6,0,7,240,30,20,16,5,4,6,150,2,2,21.2177,476.226,481.747,153.177,28.1879,0.5
7,7,1007,500,500,3000,6,0,7,240,30,20,16,5,4,6,150,2,2,20.7186,477.29,473.53,151.056,32.6714,0.5
8,8,1008,450,450,3000,4.86,0,7,240,30,25,20,0,2,8,300,2,2,19.9338,479.656,482.745,304.589,28.4723,0.5
9,9,1009,350,350,3000,2.94,0,7,240,30,20,20,0,1,6,200,2,2,22.3156,480.597,473.935,207.094,30.746,0.5
10,10,1010,400,400,3000,3.84,0,7,240,30,16,12,5,4,6,150,2,2,20.5403,484.9,475.546,153.347,30.5557,0.5
11,11,1011,400,400,3000,3.84,0,7,240,30,16,12,5,4,6,150,2,2,20.342,491.039,482.711,151.749,28.1777,0.5
12,12,1012,350,350,3000,2.94,0,7,240,30,20,20,0,1,6,200,2,2,22.3265,472.117,485.803,202.388,28.0321,0.5
1001,1001,2001,350,350,3000,2.94,0,7,240,30,20,16,0,2,6,200,2,2,21.8072,476.5,490.301,206.932,28.3823,0.5
1004,1004,2004,350,350,3000,2.94,0,7,240,30,20,16,0,2,6,200,2,2,19.3836,481.766,481.891,206.478,33.6728,0.5
1005,1005,2005,450,450,3000,4.86,0,7,240,30,25,20,0,2,8,300,2,2,21.7222,475.279,479.732,300.959,24.366,0.5
1006,1006,2006,500,500,3000,6,0,7,240,30,20,16,0,2,6,200,2,2,19.7879,485.441,473.542,208.125,26.262,0.5
1007,1007,2007,500,500,3000,6,0,7,240,30,20,16,0,2,6,200,2,2,23.4287,476.266,480.712,201.402,28.7973,0.5
1008,1008,2008,450,450,3000,4.86,0,7,240,30,25,20,0,2,8,300,2,2,24.0538,483.124,475.647,303.608,27.7734,0.5
1009,1009,2009,350,350,3000,2.94,0,7,240,30,20,20,0,1,6,200,2,2,21.6171,481.892,480.173,200.139,30.4784,0.5
1010,1010,2010,400,400,3000,3.84,0,7,240,30,16,12,0,2,6,150,2,2,23.9773,484.038,481.329,153.797,30.2987,0.5
1011,1011,2011,400,400,3000,3.84,0,7,240,30,16,12,0,2,6,150,2,2,18.8061,471.141,484.664,156.382,29.9651,0.5
1012,1012,2012,350,350,3000,2.94,0,7,240,30,20,20,0,1,6,200,2,2,21.6768,476.46,477.81,209.297,28.4735,0.5
2001,2001,3001,250,250,3000,1.5,0,7,240,30,20,16,0,0,6,200,2,2,18.6108,482.588,491.097,204.633,30.0862,0.5
2004,2004,3004,250,250,3000,1.5,0,7,240,30,20,16,0,0,6,200,2,2,21.2597,473.536,492.508,201.027,32.4772,0.5
2005,2005,3005,350,350,3000,2.94,0,7,240,30,25,20,0,0,8,300,2,2,19.0063,471.097,484.529,307.115,32.7831,0.5
2006,2006,3006,400,400,3000,3.84,0,7,240,30,20,16,0,0,6,200,2,2,19.3161,478.246,482.443,202.905,30.2483,0.5
2007,2007,3007,400,400,3000,3.84,0,7,240,30,20,16,0,0,6,200,2,2,22.1851,481.091,483.004,203.094,32.7088,0.5
2008,2008,3008,350,350,3000,2.94,0,7,240,30,25,20,0,0,8,300,2,2,20.08,472.269,485.56,303.644,25.0046,0.5
2009,2009,3009,300,300,3000,2.16,0,7,240,30,20,20,0,0,6,200,2,2,19.1181,472.812,488.033,209.537,27.0932,0.5
2010,2010,3010,350,350,3000,2.94,0,7,240,30,16,12,0,1,6,150,2,2,20.0417,471.855,485.048,152.981,32.075,0.5
2011,2011,3011,350,350,3000,2.94,0,7,240,30,16,12,0,1,6,150,2,2,20.8291,478.725,481.736,150.027,29.1346,0.5
2012,2012,3012,300,300,3000,2.16,0,7,240,30,20,20,0,0,6,200,2,2,21.4741,482.095,473.089,204.953,28.6124,0.5
3001,3001,4001,250,250,3000,1.5,0,7,240,30,20,16,0,0,6,200,2,2,19.9133,475.944,481.511,207.002,30.5494,0.5
3004,3004,4004,250,250,3000,1.5,0,7,240,30,20,16,0,0,6,200,2,2,22.4409,485.584,478.195,208.153,29.0394,0.5
3005,3005,4005,350,350,3000,2.94,0,7,240,30,25,20,0,0,8,300,2,2,21.5566,479.183,475.343,311.301,34.2945,0.5
3006,3006,4006,400,400,3000,3.84,0,7,240,30,20,16,0,0,6,200,2,2,21.6768,481.464,486.006,207.022,29.1506,0.5
3007,3007,4007,400,400,3000,3.84,0,7,240,30,20,16,0,0,6,200,2,2,21.035,477.357,484.505,201.981,33.0861,0.5
3008,3008,4008,350,350,3000,2.94,0,7,240,30,25,20,0,0,8,300,2,2,23.4962,481.409,480.321,305.252,30.7838,0.5
3009,3009,4009,300,300,3000,2.16,0,7,240,30,20,20,0,0,6,200,2,2,22.0899,488.139,479.56,204.595,34.3474,0.5
3010,3010,4010,350,350,3000,2.94,0,7,240,30,16,12,0,1,6,150,2,2,19.6175,479.373,479.871,151.027,29.8803,0.5
3011,3011,4011,350,350,3000,2.94,0,7,240,30,16,12,0,1,6,150,2,2,22.8188,476.096,476.932,153.205,35.6792,0.5
3012,3012,4012,300,300,3000,2.16,0,7,240,30,20,20,0,0,6,200,2,2,25.9337,479.098,478.818,201.015,30.5861,0.5
4030,2,4013,400,400,1500,3.84,0,7,240,30,16,16,3,2,6,150,2,2,21.6484,479.331,479.235,150.654,24.7715,0.5
4031,4013,1002,400,400,1500,3.84,0,7,240,30,16,16,0,4,6,150,2,2,24.467,480.092,469.703,156.271,31.9824,0.5
4032,3,4014,400,400,1500,3.84,0,7,240,30,16,16,3,2,6,150,2,2,20.7827,480.31,485.999,151.267,33.4436,0.5
4033,4014,1003,400,400,1500,3.84,0,7,240,30,16,16,0,4,6,150,2,2,22.0176,471.8,470.997,153.547,26.3696,0.5
4035,1002,4015,400,400,1500,3.84,0,7,240,30,16,16,0,2,6,150,2,2,21.2566,475.336,478.446,154.687,35.8882,0.5
4036,4015,2002,400,400,1500,3.84,0,7,240,30,16,16,0,2,6,150,2,2,21.3064,479.4,473.775,157.042,30.4828,0.5
4037,1003,4016,400,400,1500,3.84,0,7,240,30,16,16,0,2,6,150,2,2,23.3592,482.635,475.925,152.297,32.0004,0.5
4038,4016,2003,400,400,1500,3.84,0,7,240,30,16,16,0,2,6,150,2,2,21.8427,483.682,487.622,151.358,27.808,0.5
4040,2002,4017,350,350,1500,2.94,0,7,240,30,16,16,0,1,6,150,2,2,25.6145,483.674,478.426,156.566,35.0815,0.5
4041,4017,3002,350,350,1500,2.94,0,7,240,30,16,16,0,1,6,150,2,2,21.8901,480.033,482.936,152.277,31.1226,0.5
