column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
3,3,1003,400,550,3700,5.28,0,8.5,240,30,16,16,0,7,6,150,2,2,17.7208,476.074,474.554,179.333,39.1701,0
4,4,1004,300,350,3700,2.52,0,8.5,240,30,12,12,0,2,6,125,2,2,26.8046,487.374,495.536,130.758,38.7864,0
5,5,1005,350,250,3700,2.1,0,8.5,240,30,12,12,0,1,6,125,2,2,25.306,466.458,485.497,140.285,32.6437,0
6,6,1006,700,400,3700,6.72,0,8.5,240,30,16,16,7,0,6,150,2,2,25.1139,472.022,509.607,152.559,27.0602,0
7,7,1007,850,450,3700,9.18,0,8.5,240,30,25,20,7,0,8,300,2,2,23.9463,494.386,478.893,378.346,22.4919,0
8,8,1008,550,300,3700,3.96,0,8.5,240,30,12,12,7,0,6,125,2,2,22.1665,495.863,465.481,128.758,24.8244,0
9,9,1009,400,300,3700,2.88,0,8.5,240,30,12,12,0,2,6,125,2,2,27.7802,473.323,466.198,133.223,38.4889,0
10,10,1010,700,400,3700,6.72,0,8.5,240,30,16,16,7,0,6,150,2,2,23.536,502.595,488.028,181.891,33.4702,0
11,11,1011,850,450,3700,9.18,0,8.5,240,30,25,20,7,0,8,300,2,2,23.0836,485.244,482.39,368.486,23.3309,0
12,12,1012,550,300,3700,3.96,0,8.5,240,30,12,12,6,0,6,125,2,2,27.8074,480.09,470.695,133.139,43.9701,0
13,13,1013,350,250,3700,2.1,0,8.5,240,30,12,12,0,1,6,125,2,2,26.5289,476.286,481.437,130.823,30.1492,0
14,14,1014,700,400,3700,6.72,0,8.5,240,30,16,16,7,0,6,150,2,2,20.9599,474.99,480.898,151.133,24.8234,0
15,15,1015,850,450,3700,9.18,0,8.5,240,30,25,20,7,0,8,300,2,2,26.3224,500.398,493.018,307.19,29.6947,0
16,16,1016,550,300,3700,3.96,0,8.5,240,30,12,12,6,0,6,125,2,2,21.8433,486.102,460.998,158.088,28.5057,0
17,17,1017,350,250,3700,2.1,0,8.5,240,30,12,12,0,1,6,125,2,2,30.6208,481.028,465.692,131.717,25.6,0
18,18,1018,700,400,3700,6.72,0,8.5,240,30,16,16,7,0,6,150,2,2,32.2764,459.895,478.271,168.161,32.1087,0
19,19,1019,850,450,3700,9.18,0,8.5,240,30,25,20,7,0,8,300,2,2,26.0683,471.883,467.179,369.303,30.3953,0
20,20,1020,550,300,3700,3.96,0,8.5,240,30,12,12,6,0,6,125,2,2,32.0716,499.364,508.175,161.865,26.6054,0
21,21,1021,400,300,3700,2.88,0,8.5,240,30,12,12,0,2,6,125,2,2,19.7296,481.719,469.933,157.719,35.5703,0
22,22,1022,700,400,3700,6.72,0,8.5,240,30,16,16,7,0,6,150,2,2,26.2126,475.639,483.668,191.525,30.5903,0
23,23,1023,850,450,3700,9.18,0,8.5,240,30,25,20,7,0,8,300,2,2,19.3219,452.641,478.303,374.879,27.616,0
