column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,250,250,2900,1.5,0,8.5,300,30,12,12,1,0,6,125,2,2,17.7208,604.247,603.982,161.827,33.4745,0
2,2,1002,300,300,2900,2.16,0,8.5,300,30,12,12,3,0,6,125,2,2,26.8046,600.872,582.076,141.811,34.5914,0
3,3,1003,300,300,2900,2.16,0,8.5,300,30,16,12,1,0,6,150,2,2,25.306,593.234,580.704,182.872,25.1851,0
6,6,1006,300,300,2900,2.16,0,8.5,300,30,16,12,1,0,6,150,2,2,25.1139,622.526,567.104,155.974,32.7717,0
7,7,1007,300,300,2900,2.16,0,8.5,300,30,12,12,3,0,6,125,2,2,23.9463,615.631,587.876,144.004,28.6004,0
8,8,1008,250,250,2900,1.5,0,8.5,300,30,12,12,1,0,6,125,2,2,22.1665,615.175,599.211,128.546,22.444,0
9,9,1009,350,350,2900,2.94,0,8.5,300,30,12,12,3,3,6,125,2,2,27.7802,625.861,585.405,143.605,30.2637,0
10,10,1010,400,400,2900,3.84,0,8.5,300,30,16,12,4,5,6,150,2,2,23.536,559.306,578.124,150.442,29.8884,0
11,11,1011,400,400,2900,3.84,0,8.5,300,30,16,12,4,5,6,150,2,2,23.0836,599.704,599.718,151.88,38.0201,0
12,12,1012,400,400,2900,3.84,0,8.5,300,30,20,16,1,2,6,200,2,2,27.8074,623.511,619.815,254.844,30.9226,0
13,13,1013,400,400,2900,3.84,0,8.5,300,30,20,16,1,2,6,200,2,2,26.5289,583.642,566.85,253.375,36.609,0
14,14,1014,400,400,2900,3.84,0,8.5,300,30,16,12,4,5,6,150,2,2,20.9599,589.734,588.926,184.766,29.3036,0
15,15,1015,400,400,2900,3.84,0,8.5,300,30,16,12,4,5,6,150,2,2,26.3224,600.19,619.652,173.829,33.6202,0
16,16,1016,350,350,2900,2.94,0,8.5,300,30,12,12,3,3,6,125,2,2,21.8433,606.99,605.169,131.238,43.6829,0
17,17,1017,350,350,2900,2.94,0,8.5,300,30,12,12,3,1,6,125,2,2,30.6208,593.55,614.513,152.683,19.9844,0
18,18,1018,400,400,2900,3.84,0,8.5,300,30,12,12,5,4,6,125,2,2,32.2764,592.455,620.386,133.029,29.2747,0
19,19,1019,400,400,2900,3.84,0,8.5,300,30,12,12,5,4,6,125,2,2,26.0683,611.48,588.466,127.176,28.9581,0
20,20,1020,350,350,2900,2.94,0,8.5,300,30,12,12,3,2,6,125,2,2,32.0716,573.019,609.706,136.838,35.0117,0
21,21,1021,350,350,2900,2.94,0,8.5,300,30,12,12,3,2,6,125,2,2,19.7296,611.997,590.473,146.957,19.771,0
22,22,1022,400,400,2900,3.84,0,8.5,300,30,12,12,5,4,6,125,2,2,26.2126,597.305,623.577,146.819,31.2338,0
23,23,1023,400,400,2900,3.84,0,8.5,300,30,12,12,5,4,6,125,2,2,19.3219,604.959,626.34,156.172,26.6804,0
24,24,1024,350,350,2900,2.94,0,8.5,300,30,12,12,3,1,6,125,2,2,25.2135,608.159,585.28,139.698,29.6496,0
25,25,1025,250,250,2900,1.5,0,8.5,300,30,12,12,1,0,6,125,2,2,20.1518,580.954,613.442,130.611,33.6542,0
26,26,1026,300,300,2900,2.16,0,8.5,300,30,12,12,3,1,6,125,2,2,20.814,619.879,575.418,126.49,32.0569,0
27,27,1027,300,300,2900,2.16,0,8.5,300,30,12,12,3,1,6,125,2,2,27.4563,614.025,603.789,132.426,26.1512,0
28,28,1028,250,250,2900,1.5,0,8.5,300,30,16,16,1,0,6,150,2,2,22.4929,595.254,599.321,192.04,25.4497,0
29,29,1029,250,250,2900,1.5,0,8.5,300,30,16,16,1,0,6,150,2,2,20.3896,587.232,603.796,151.675,36.9309,0
30,30,1030,300,300,2900,2.16,0,8.5,300,30,12,12,3,1,6,125,2,2,22.4071,577.46,610.685,148.935,30.1136,0
31,31,1031,300,300,2900,2.16,0,8.5,300,30,12,12,3,1,6,125,2,2,24.2024,592.55,617.138,141.367,45.157,0
32,32,1032,250,250,2900,1.5,0,8.5,300,30,12,12,1,0,6,125,2,2,25.7245,608.501,600.114,132.014,32.6425,0
1001,1001,2001,250,250,2900,1.5,0,8.5,300,30,12,12,1,0,6,125,2,2,22.121,613.495,578.653,150.264,25.8048,0
1002,1002,2002,300,300,2900,2.16,0,8.5,300,30,12,12,3,0,6,125,2,2,28.093,593.297,620.818,147.306,24.7756,0
1003,1003,2003,300,300,2900,2.16,0,8.5,300,30,16,12,1,0,6,150,2,2,25.9227,588.543,577.22,153.008,27.3861,0
1006,1006,2006,300,300,2900,2.16,0,8.5,300,30,16,12,1,0,6,150,2,2,26.2125,593.331,612.458,179.876,34.6341,0
1007,1007,2007,300,300,2900,2.16,0,8.5,300,30,12,12,3,0,6,125,2,2,24.6833,627.676,582.721,127.865,29.4072,0
1008,1008,2008,250,250,2900,1.5,0,8.5,300,30,12,12,1,0,6,125,2,2,30.7975,580.753,619.769,133.39,31.0444,0
1009,1009,2009,350,350,2900,2.94,0,8.5,300,30,12,12,2,0,6,125,2,2,27.2211,585.398,605.177,146.361,31.4811,0
1010,1010,2010,400,400,2900,3.84,0,8.5,300,30,16,12,0,2,6,150,2,2,21.4688,607.667,592.616,182.234,24.8769,0
1011,1011,2011,400,400,2900,3.84,0,8.5,300,30,16,12,0,2,6,150,2,2,29.0472,583.997,616.786,176.024,27.6723,0
1012,1012,2012,400,400,2900,3.84,0,8.5,300,30,20,16,0,0,6,200,2,2,37.5186,590.727,586.447,253.86,26.9273,0
1013,1013,2013,400,400,2900,3.84,0,8.5,300,30,20,16,0,0,6,200,2,2,26.1439,612.933,588.307,242.023,40.6929,0
1014,1014,2014,400,400,2900,3.84,0,8.5,300,30,16,12,0,2,6,150,2,2,33.395,592.211,593.269,193.651,18.4534,0
1015,1015,2015,400,400,2900,3.84,0,8.5,300,30,16,12,0,2,6,150,2,2,24.0948,603.696,596.744,162.345,42.2156,0
1016,1016,2016,350,350,2900,2.94,0,8.5,300,30,12,12,2,0,6,125,2,2,27.0431,602.759,588.462,161.931,24.1961,0
1017,1017,2017,350,350,2900,2.94,0,8.5,300,30,12,12,2,0,6,125,2,2,25.2061,590.673,621.42,132.296,30.6725,0
1018,1018,2018,400,400,2900,3.84,0,8.5,300,30,12,12,0,3,6,125,2,2,25.3243,589.909,597.755,132.224,26.4195,0
1019,1019,2019,400,400,2900,3.84,0,8.5,300,30,12,12,0,3,6,125,2,2,30.4393,591.742,625.468,132.117,27.0815,0
1020,1020,2020,350,350,2900,2.94,0,8.5,300,30,12,12,2,0,6,125,2,2,26.6152,617.576,590.118,129.427,34.6112,0
1021,1021,2021,350,350,2900,2.94,0,8.5,300,30,12,12,2,0,6,125,2,2,36.6006,569.596,598.818,148.458,33.1475,0
1022,1022,2022,400,400,2900,3.84,0,8.5,300,30,12,12,0,3,6,125,2,2,26.7309,580.367,612.846,125.17,34.6726,0
1023,1023,2023,400,400,2900,3.84,0,8.5,300,30,12,12,0,3,6,125,2,2,19.7942,593.894,635.545,155.284,25.1514,0
1024,1024,2024,350,350,2900,2.94,0,8.5,300,30,12,12,2,0,6,125,2,2,24.4175,588.543,598.108,147.464,25.4022,0
1025,1025,2025,250,250,2900,1.5,0,8.5,300,30,12,12,1,0,6,125,2,2,32.1891,602.378,598.872,136.358,34.5011,0
1026,1026,2026,300,300,2900,2.16,0,8.5,300,30,12,12,3,0,6,125,2,2,24.9328,601.488,623.869,158.407,23.7476,0
1027,1027,2027,300,300,2900,2.16,0,8.5,300,30,12,12,3,0,6,125,2,2,17.7945,599.826,597.444,156.606,39.0928,0
1028,1028,2028,250,250,2900,1.5,0,8.5,300,30,16,16,1,0,6,150,2,2,22.8039,592.217,597.757,178.427,39.9376,0
1029,1029,2029,250,250,2900,1.5,0,8.5,300,30,16,16,1,0,6,150,2,2,19.3778,600.431,625.677,153.404,30.0775,0
1030,1030,2030,300,300,2900,2.16,0,8.5,300,30,12,12,3,0,6,125,2,2,43.1343,612.02,599.883,161.181,33.3807,0
