column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,250,300,3250,1.8,0,8.5,240,30,12,12,1,1,6,125,2,2,21.8738,473.278,484.394,126.991,35.0862,0.5
2,2,1002,350,500,3250,4.2,0,8.5,240,30,12,12,1,6,6,125,2,2,26.9021,475.958,473.049,128.639,29.6964,0.5
3,3,1003,350,500,3250,4.2,0,8.5,240,30,12,12,0,7,6,125,2,2,26.1393,479.149,484.92,128.091,29.0049,0.5
6,6,1006,350,500,3250,4.2,0,8.5,240,30,12,12,0,7,6,125,2,2,26.0399,481.747,479.077,128.714,30.5598,0.5
7,7,1007,350,500,3250,4.2,0,8.5,240,30,12,12,1,6,6,125,2,2,25.4273,473.53,474.858,125.048,34.3154,0.5
8,8,1008,250,300,3250,1.8,0,8.5,240,30,12,12,1,1,6,125,2,2,24.4642,482.745,477.57,131.031,36.8461,0.5
9,9,1009,500,300,3250,3.6,0,8.5,240,30,12,12,6,0,6,125,2,2,27.3873,473.935,482.655,126.469,31.5765,0.5
10,10,1010,800,500,3250,9.6,0,8.5,240,30,16,16,12,0,6,150,2,2,25.2086,475.546,479.352,150.575,29.0077,0.5
11,11,1011,800,500,3250,9.6,0,8.5,240,30,16,16,12,0,6,150,2,2,24.9651,482.711,476.518,152.211,33.477,0.5
12,12,1012,700,400,3250,6.72,0,8.5,240,30,16,16,9,0,6,150,2,2,27.4007,485.803,476.603,155.197,34.6283,0.5
13,13,1013,700,400,3250,6.72,0,8.5,240,30,16,16,9,0,6,150,2,2,26.7634,490.301,482.429,156.996,30.3252,0.5
14,14,1014,800,500,3250,9.6,0,8.5,240,30,16,16,12,0,6,150,2,2,23.789,481.891,481.824,156.331,31.7213,0.5
15,15,1015,800,500,3250,9.6,0,8.5,240,30,16,16,12,0,6,150,2,2,26.659,479.732,472.747,152.45,33.6007,0.5
16,16,1016,500,300,3250,3.6,0,8.5,240,30,12,12,6,0,6,125,2,2,24.2852,473.542,484.278,130.201,31.476,0.5
17,17,1017,250,300,3250,1.8,0,8.5,240,30,12,12,1,1,6,125,2,2,28.7534,480.712,474.846,125.34,31.1822,0.5
18,18,1018,350,500,3250,4.2,0,8.5,240,30,16,16,0,3,6,150,2,2,29.5206,475.647,476.63,150.696,29.1029,0.5
19,19,1019,350,500,3250,4.2,0,8.5,240,30,16,16,0,3,6,150,2,2,26.5301,480.173,469.555,151.398,30.773,0.5
20,20,1020,300,400,3250,2.88,0,8.5,240,30,16,12,0,2,6,150,2,2,29.4267,481.329,480.075,155.908,27.9827,0.5
21,21,1021,300,400,3250,2.88,0,8.5,240,30,16,12,0,2,6,150,2,2,23.0803,484.664,485.02,155.432,26.6727,0.5
22,22,1022,350,500,3250,4.2,0,8.5,240,30,16,16,0,3,6,150,2,2,26.6034,477.81,487.127,150.984,28.118,0.5
23,23,1023,350,500,3250,4.2,0,8.5,240,30,16,16,0,3,6,150,2,2,22.8406,491.097,479.558,155.311,29.5972,0.5
24,24,1024,250,300,3250,1.8,0,8.5,240,30,12,12,1,1,6,125,2,2,26.0915,492.508,473.961,129.761,28.8236,0.5
1001,1001,2001,250,300,2700,1.8,0,8.5,240,30,12,12,1,1,6,125,2,2,23.3259,484.529,479.691,126.193,31.6332,0.5
1002,1002,2002,350,500,2700,4.2,0,8.5,240,30,12,12,4,0,6,125,2,2,23.7061,482.443,477.357,129.192,29.1167,0.5
1003,1003,2003,350,500,2700,4.2,0,8.5,240,30,12,12,4,0,6,125,2,2,27.2272,483.004,477.618,127.535,30.0366,0.5
1006,1006,2006,350,500,2700,4.2,0,8.5,240,30,12,12,4,0,6,125,2,2,24.6436,485.56,476.667,125.459,28.392,0.5
1007,1007,2007,350,500,2700,4.2,0,8.5,240,30,12,12,4,0,6,125,2,2,23.4631,488.033,488.141,128.234,26.2199,0.5
1008,1008,2008,250,300,2700,1.8,0,8.5,240,30,12,12,1,1,6,125,2,2,24.5966,485.048,478.753,128.079,31.7703,0.5
