column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,250,300,2750,1.8,0,7,240,30,16,12,0,2,6,150,2,2,14.4392,469.462,463.372,186.851,24.6331,0
4,4,1004,250,300,2750,1.8,0,7,240,30,16,12,0,2,6,150,2,2,21.8408,464.548,469.96,153.255,33.2076,0
5,5,1005,400,350,2750,3.36,0,7,240,30,16,12,4,2,6,150,2,2,20.6197,473.188,477.876,188.075,24.1654,0
6,6,1006,550,450,2750,5.94,0,7,240,30,20,16,7,0,6,200,2,2,20.4631,470.619,484.38,225.419,26.4852,0
7,7,1007,550,450,2750,5.94,0,7,240,30,20,16,7,0,6,200,2,2,19.5118,473.253,463.988,208.444,35.5806,0
8,8,1008,400,350,2750,3.36,0,7,240,30,16,12,4,2,6,150,2,2,18.0616,479.14,486.891,163.766,27.0225,0
9,9,1009,300,300,2750,2.16,0,7,240,30,16,12,0,1,6,150,2,2,22.6357,481.495,464.98,181.921,31.5106,0
10,10,1010,300,350,2750,2.52,0,7,240,30,12,12,1,4,6,125,2,2,19.1775,492.344,468.942,141.736,31.1217,0
11,11,1011,300,350,2750,2.52,0,7,240,30,12,12,1,4,6,125,2,2,18.8089,508.075,486.805,133.747,26.4662,0
12,12,1012,300,300,2750,2.16,0,7,240,30,16,12,0,1,6,150,2,2,22.6579,460.535,494.639,160.744,26.1933,0
1001,1001,2001,250,300,2750,1.8,0,7,240,30,16,12,0,3,6,150,2,2,21.6161,471.297,506.169,181.193,26.8517,0
1004,1004,2004,250,300,2750,1.8,0,7,240,30,16,12,0,3,6,150,2,2,17.0784,484.428,484.741,179.15,37.7952,0
1005,1005,2005,400,350,2750,3.36,0,7,240,30,16,12,1,3,6,150,2,2,21.4479,468.284,479.33,152.877,19.79,0
1006,1006,2006,550,450,2750,5.94,0,7,240,30,20,16,0,1,6,200,2,2,17.7983,493.717,464.018,248.751,22.9897,0
1007,1007,2007,550,450,2750,5.94,0,7,240,30,20,16,0,1,6,200,2,2,24.9503,470.719,481.783,208.411,27.6428,0
1008,1008,2008,400,350,2750,3.36,0,7,240,30,16,12,1,3,6,150,2,2,26.2993,487.849,469.192,160.825,25.7121,0
1009,1009,2009,300,300,2750,2.16,0,7,240,30,16,12,0,2,6,150,2,2,21.2409,484.745,480.433,150.626,30.9645,0
