column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
3,3,1003,350,350,3050,2.94,0,11.5,240,30,16,12,2,0,6,150,2,2,21.6588,468.424,484.468,173.958,24.1866,0
4,4,1004,250,250,3050,1.5,0,11.5,240,30,12,12,1,0,6,125,2,2,32.7611,478.501,474.138,155.608,27.1047,0
5,5,1005,250,250,3050,1.5,0,11.5,240,30,12,12,0,1,6,125,2,2,30.9296,486.615,494.327,156.192,33.4985,0
6,6,1006,400,400,3050,3.84,0,11.5,240,30,16,12,4,3,6,150,2,2,30.6947,489.257,476.547,162.88,29.2005,0
7,7,1007,450,450,3050,4.86,0,11.5,240,30,20,16,3,2,6,125,2,2,29.2677,489.237,483.398,131.659,25.9344,0
8,8,1008,350,350,3050,2.94,0,11.5,240,30,12,12,3,2,6,125,2,2,27.0924,480.084,480.698,152.117,26.0272,0
9,9,1009,300,300,3050,2.16,0,11.5,240,30,12,12,1,2,6,125,2,2,33.9536,501.017,474.587,140.638,33.1874,0
10,10,1010,400,400,3050,3.84,0,11.5,240,30,16,12,4,4,6,150,2,2,28.7662,474.811,498.021,158.188,32.3644,0
11,11,1011,450,450,3050,4.86,0,11.5,240,30,20,16,3,3,6,125,2,2,28.2133,479.442,492.505,147.663,22.1242,0
12,12,1012,350,350,3050,2.94,0,11.5,240,30,12,12,3,3,6,125,2,2,33.9868,488.1,492.14,129.22,35.8248,0
13,13,1013,250,250,3050,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,32.4242,493.021,500.689,128.582,24.1745,0
14,14,1014,300,300,3050,2.16,0,11.5,240,30,16,12,0,1,6,150,2,2,25.6176,477.414,447.445,150.542,26.0573,0
15,15,1015,350,350,3050,2.94,0,11.5,240,30,16,12,2,2,6,150,2,2,32.1718,492.53,479.763,159.319,19.3211,0
16,16,1016,250,250,3050,1.5,0,11.5,240,30,12,12,1,1,6,125,2,2,26.6974,478.33,498.809,142.963,30.0942,0
1003,1003,2003,350,350,2750,2.94,0,11.5,240,30,16,12,1,0,6,150,2,2,37.4254,486.892,466.913,157.304,36.9396,0
1004,1004,2004,250,250,2750,1.5,0,11.5,240,30,12,12,2,0,6,125,2,2,39.449,452.172,471.787,127.576,40.2844,0
1005,1005,2005,250,250,2750,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,31.8613,457.087,480.152,143.469,29.4525,0
1006,1006,2006,400,400,2750,3.84,0,11.5,240,30,16,12,0,2,6,150,2,2,39.1986,499.072,485.592,190.642,23.2892,0
1007,1007,2007,450,450,2750,4.86,0,11.5,240,30,20,16,0,1,6,200,2,2,24.1139,465.006,474.84,200.69,29.6158,0
1008,1008,2008,350,350,2750,2.94,0,11.5,240,30,12,12,0,2,6,125,2,2,32.0376,485.04,473.964,133.553,26.864,0
1009,1009,2009,300,300,2750,2.16,0,11.5,240,30,12,12,0,1,6,125,2,2,23.6157,473.171,489.184,158.8,27.1584,0
1010,1010,2010,400,400,2750,3.84,0,11.5,240,30,16,12,0,2,6,150,2,2,30.8165,470.041,458.415,178.541,26.0974,0
1011,1011,2011,450,450,2750,4.86,0,11.5,240,30,20,16,0,1,6,200,2,2,24.63,476.608,489.598,249.828,41.9949,0
1012,1012,2012,350,350,2750,2.94,0,11.5,240,30,12,12,0,2,6,125,2,2,25.4394,497.669,477.844,159.099,28.4795,0
1013,1013,2013,250,250,2750,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,33.5577,482.13,483.967,133.203,17.5177,0
1014,1014,2014,300,300,2750,2.16,0,11.5,240,30,16,12,1,0,6,150,2,2,27.4914,496.89,486.528,183.279,29.9288,0
1015,1015,2015,350,350,2750,2.94,0,11.5,240,30,16,12,1,0,6,150,2,2,24.9206,486.414,464.763,161.746,33.3211,0
1016,1016,2016,250,250,2750,1.5,0,11.5,240,30,12,12,2,0,6,125,2,2,27.3865,480.037,495.903,160.191,35.8985,0
2003,2003,3003,250,250,2750,1.5,0,11.5,240,30,16,12,0,0,6,150,2,2,29.5807,480.183,491.22,193.072,34.4061,0
2004,2004,3004,250,250,2750,1.5,0,11.5,240,30,12,12,1,0,6,125,2,2,31.4411,470.776,476.203,131.008,33.3589,0
2005,2005,3005,250,250,2750,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,27.0368,449.794,469.786,155.46,25.3178,0
2006,2006,3006,350,350,2750,2.94,0,11.5,240,30,16,12,0,1,6,150,2,2,34.3359,477.517,461.968,152.121,27.7765,0
2007,2007,3007,350,350,2750,2.94,0,11.5,240,30,20,16,0,0,6,200,2,2,31.6833,481.918,474.04,235.964,29.3956,0
2008,2008,3008,250,250,2750,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,32.0375,494.099,486.801,143.072,24.1041,0
2009,2009,3009,250,250,2750,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,30.1684,485.563,490.796,147.484,28.9215,0
2010,2010,3010,350,350,2750,2.94,0,11.5,240,30,16,12,0,1,6,150,2,2,37.6413,492.202,474.638,184.196,23.2562,0
2011,2011,3011,350,350,2750,2.94,0,11.5,240,30,20,16,0,0,6,200,2,2,33.2702,497.692,470.834,252.202,22.8655,0
2012,2012,3012,250,250,2750,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,26.2396,499.142,474.664,143.863,36.4878,0
2013,2013,3013,250,250,2750,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,35.5022,490.926,502.141,127.762,24.7675,0
