beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1017,1001,1002,200,400,3000,1.92,0,1.92,0,11.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,30.1684,486.07,496.326,192.643,178.135,175.251,29.4381,0
1018,1002,1003,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,38.7339,505.417,476.566,153.938,159.496,170.238,27.6206,0
1019,1003,1004,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,36.2686,471.834,491.895,153.397,167.025,166.945,43.3734,0
1020,1005,1006,250,400,3000,20.26,9.3,19.1601,8.80005,11.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,30.0472,489.786,483.105,192.402,168.056,187.7,35.9176,0
1021,1006,1007,250,400,4650,15.978,4.65,11.4525,3.10015,11.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,20.4737,488.643,496.517,171.508,178.1,182.899,48.5358,0
1022,1007,1008,250,400,4650,15.978,4.65,11.4525,3.10015,11.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,37.7414,466.108,479.52,158.087,192.987,157.116,27.0267,0
1023,1009,1010,250,400,3000,9,3,6.80022,2.0001,11.5,240,30,25,2,25,0,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,28.2572,492.028,501.262,194.202,194.486,191.023,31.2338,0
1024,1010,1011,250,400,4650,15.978,4.65,11.4525,3.10015,11.5,240,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,33.3159,478.849,482.327,165.085,163.452,150.087,32.9798,0
1025,1011,1012,250,400,4650,15.978,4.65,11.4525,3.10015,11.5,240,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,21.6316,466.437,457.561,192.36,161.903,160.943,28.2758,0
1026,1013,1014,250,400,3000,12.7,1.5,11.6001,1.00005,11.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,34.743,481.096,487.74,170.677,182.412,156.168,31.3031,0
1027,1014,1015,250,400,4650,16.189,2.325,13.9262,1.55008,11.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,0,8,150,2,2,30.1784,473.629,493.218,166.557,181.032,165.362,25.2891,0
1028,1015,1016,250,400,4650,16.189,2.325,13.9262,1.55008,11.5,240,30,25,2,25,1,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,31.9066,468.948,464.769,175.8,162.211,156.66,27.2271,0
2017,2001,2002,200,400,3000,1.92,0,1.92,0,11.5,240,30,20,2,20,0,16,2,16,1,6,125,2,2,20,2,20,0,16,2,16,0,6,125,2,2,20,2,20,0,16,2,16,1,6,125,2,2,30.609,463.372,501.994,159.145,160.474,135.544,24.0596,0
2018,2002,2003,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,20,2,20,0,16,2,16,1,6,125,2,2,20,2,20,0,16,2,16,0,6,125,2,2,20,2,20,0,16,2,16,0,6,125,2,2,29.5974,469.96,481.92,161.753,155.052,140.017,32.2777,0
2019,2003,2004,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,20,2,20,0,16,2,16,0,6,125,2,2,20,2,20,0,16,2,16,0,6,125,2,2,20,2,20,0,16,2,16,0,6,125,2,2,32.7829,477.876,487.809,151.09,132.448,142.752,27.5361,0
2020,2005,2006,200,400,3000,19.78,9.3,18.6801,8.80005,11.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,0,8,150,2,2,46.9631,484.38,470.981,166.574,172.345,162.143,28.8841,0
2021,2006,2007,200,400,4650,15.498,4.65,10.9725,3.10015,11.5,240,30,25,2,25,1,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25.0758,463.988,499.149,188.862,154.153,153.059,28.2304,0
2022,2007,2008,200,400,4650,15.498,4.65,10.9725,3.10015,11.5,240,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,28.9901,486.891,484.429,191.594,173.623,174.325,21.7029,0
2023,2009,2010,200,400,3000,8.52,3,6.32022,2.0001,11.5,240,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,22.6066,464.98,481.307,174.432,175.624,178.502,38.5846,0
2024,2010,2011,200,400,4650,15.498,4.65,10.9725,3.10015,11.5,240,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,36.3054,468.942,501.68,182.02,158.16,179.518,33.8601,0
2025,2011,2012,200,400,4650,15.498,4.65,10.9725,3.10015,11.5,240,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,34.6542,486.805,481.723,189.217,153.356,151.291,27.3826,0
2026,2013,2014,200,400,3000,12.22,1.5,11.1201,1.00005,11.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,27.2811,494.639,480.955,180.802,158.104,154.764,38.7075,0
2027,2014,2015,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,30.638,506.169,460.052,179.269,171.951,180.072,32.8613,0
2028,2015,2016,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,34.3991,484.741,481.401,167.132,152.517,154.616,48.4258,0
3017,3001,3002,200,400,3000,1.92,0,1.92,0,11.5,240,30,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,34.7293,479.33,487.947,147.515,131.526,127.497,29.451,0
3018,3002,3003,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,26.4122,464.018,475.984,134.119,132.279,141.938,23.4642,0
3019,3003,3004,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,40.4853,481.783,485.622,129.496,141.091,138.678,23.7549,0
3020,3005,3006,200,350,3000,19.54,9.3,18.4401,8.80005,11.5,240,30,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,37.2398,469.192,481.941,161.634,174.13,180.3,34.2567,0
3021,3006,3007,200,350,4650,15.258,4.65,10.7325,3.10015,11.5,240,30,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25.6028,480.433,470.337,170.081,166.538,151.814,31.2161,0
3022,3007,3008,200,350,4650,15.258,4.65,10.7325,3.10015,11.5,240,30,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,39.9864,483.33,481.413,165.505,179.043,160.139,25.6513,0
3023,3009,3010,200,350,3000,8.28,3,6.08022,2.0001,11.5,240,30,16,2,16,0,12,2,12,1,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,1,6,125,2,2,36.5401,491.745,479.278,151.324,159.952,135.694,30.7262,0
3024,3010,3011,200,350,4650,15.258,4.65,10.7325,3.10015,11.5,240,30,16,2,16,1,12,2,12,1,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,37.7731,474.544,475.002,139.345,133.735,137.198,30.452,0
3025,3011,3012,200,350,4650,15.258,4.65,10.7325,3.10015,11.5,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,32.6568,508.226,485.063,143.932,162.126,125.298,37.1615,0
3026,3013,3014,200,400,3000,12.22,1.5,11.1201,1.00005,11.5,240,30,16,2,12,1,12,2,12,1,6,125,2,2,16,2,12,1,12,2,12,0,6,125,2,2,16,2,12,1,12,2,12,0,6,125,2,2,27.3963,511.883,461.812,135.907,137.513,145.658,21.716,0
3027,3014,3015,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,16,2,12,1,12,2,12,0,6,125,2,2,16,2,12,1,12,2,12,0,6,125,2,2,16,2,12,1,12,2,12,0,6,125,2,2,42.2345,491.402,476.121,128.338,147.444,125.488,23.5495,0
3028,3015,3016,200,400,4650,15.709,2.325,13.4462,1.55008,11.5,240,30,16,2,12,1,12,2,12,0,6,125,2,2,16,2,12,1,12,2,12,0,6,125,2,2,16,2,12,1,12,2,12,0,6,125,2,2,33.4772,486.131,478.013,151.88,138.46,136.271,29.1461,0
4017,4001,4002,200,300,3000,1.44,0,1.44,0,11.5,240,30,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,29.5234,487.546,503.866,133.404,150.515,159.118,24.1578,0
4018,4002,4003,200,300,4650,8.229,0,5.96623,0,11.5,240,30,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,28.1609,494.021,486.271,142.454,156.995,130.932,47.3473,0
4019,4003,4004,200,300,4650,8.229,0,5.96623,0,11.5,240,30,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,41.9859,500.335,483.864,147.273,154.732,148.939,25.3207,0
4020,4005,4006,200,350,3000,19.54,7.8,18.4401,7.8,11.5,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,30.6848,492.72,468.017,150.223,148.319,142.12,31.8839,0
4021,4006,4007,200,350,4650,15.258,0,10.7325,0,11.5,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,32.605,484.351,478.043,140.553,146.209,159.685,29.1617,0
4022,4007,4008,200,350,4650,15.258,0,10.7325,0,11.5,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,33.7619,462.909,476.073,135.466,130.725,141.526,35.0498,0
4023,4009,4010,200,350,3000,8.28,0,6.08022,0,11.5,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,38.5583,483.787,499.066,158.479,155.504,132.599,21.698,0
4024,4010,4011,200,350,4650,15.258,0,10.7325,0,11.5,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,34.0303,475.501,478.58,149.16,161.88,162.337,27.3881,0
4025,4011,4012,200,350,4650,15.258,0,10.7325,0,11.5,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,26.5409,468.441,492.872,134.301,148.759,152.148,29.5484,0
4026,4013,4014,200,300,3000,4.74,0,3.64011,0,11.5,240,30,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,33.4629,495.157,484.765,153.804,146.804,129.863,23.5638,0
4027,4014,4015,200,300,4650,8.229,0,5.96623,0,11.5,240,30,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,1,12,2,12,0,6,125,2,2,31.782,491.342,494.265,145.13,130.572,144.808,32.25,0
4028,4015,4016,200,300,4650,8.229,0,5.96623,0,11.5,240,30,12,2,12,1,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,32.7321,480.803,448.525,140.741,135.375,136.485,30.5197,0
4045,4017,4018,200,400,3000,19.98,7.8,19.98,7.8,11.5,240,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,35.477,478.9,497.57,154.383,166.224,189.686,36.2168,0
