column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,300,300,2650,2.16,0,7,240,30,16,12,0,2,6,150,2,2,11.6977,466.439,456.921,220.6,35.0986,0
2,2,1002,450,450,2650,4.86,0,7,240,30,12,12,6,1,6,125,2,2,21.7616,460.289,492.346,153.718,33.6175,0
5,5,1005,450,450,2650,4.86,0,7,240,30,12,12,6,1,6,125,2,2,19.9624,473.24,454.736,147.996,21.1372,0
6,6,1006,300,300,2650,2.16,0,7,240,30,16,12,0,2,6,150,2,2,19.7355,515.988,465.277,193,14.0098,0
7,7,1007,350,350,2650,2.94,0,7,240,30,16,16,0,3,6,150,2,2,18.3753,484.269,500.915,218.289,36.575,0
8,8,1008,500,500,2650,6,0,7,240,30,20,16,4,0,6,200,2,2,16.3653,514.374,467.619,298.009,19.8004,0
9,9,1009,450,450,2650,4.86,0,7,240,30,16,12,5,2,6,150,2,2,22.9604,492.913,485.932,202.18,24.3352,0
10,10,1010,450,450,2650,4.86,0,7,240,30,16,12,5,2,6,150,2,2,17.9051,480.073,484.425,177.623,59.781,0
11,11,1011,500,500,2650,6,0,7,240,30,20,16,4,0,6,200,2,2,17.3913,480.366,465.194,286.359,51.8914,0
12,12,1012,350,350,2650,2.94,0,7,240,30,16,16,0,3,6,150,2,2,22.9942,461.728,463.99,219.324,45.8516,0
13,13,1013,300,300,2650,2.16,0,7,240,30,16,12,0,2,6,150,2,2,21.4267,421.489,466.879,190.719,31.9532,0
14,14,1014,450,450,2650,4.86,0,7,240,30,12,12,6,1,6,125,2,2,15.0474,475.047,508.534,169.472,29.0268,0
15,15,1015,350,350,2650,2.94,0,7,240,30,12,12,2,2,6,125,2,2,21.177,483.844,432.586,179.469,29.161,0
16,16,1016,350,350,2650,2.94,0,7,240,30,12,12,2,2,6,125,2,2,16.0087,508.612,449.101,167.78,26.5027,0
17,17,1017,450,450,2650,4.86,0,7,240,30,12,12,6,1,6,125,2,2,26.5706,491.191,470.28,165.652,52.1524,0
18,18,1018,300,300,2650,2.16,0,7,240,30,16,12,0,2,6,150,2,2,28.7545,504.713,461.844,178.554,39.3007,0
1001,1001,2001,300,300,2650,2.16,0,7,240,30,16,12,0,2,6,150,2,2,20.8712,516.035,483.812,195.031,61.7351,0
